
Dos 10000 pacotes recebidos:
  OK:             9831 ( 98.31%)
  Fora de ordem:    57 (  0.57%)
  Perdidos:        112 (  1.12%)
Pacote #0 <0> OK
Pacote #1 <0> OK
Pacote #2 <0> OK
Pacote #3 <0> OK
Pacote #4 <0> OK
Pacote #5 <0> OK
Pacote #6 <0> OK
Pacote #7 <0> OK
Pacote #8 <0> OK
Pacote #9 <0> OK
Pacote #10 <0> OK
Pacote #11 <0> OK
Pacote #12 <0> OK
Pacote #13 <0> OK
Pacote #14 <0> OK
Pacote #15 <0> OK
Pacote #16 <0> OK
Pacote #17 <0> OK
Pacote #18 <0> OK
Pacote #19 <0> OK
Pacote #20 <0> OK
Pacote #21 <0> OK
Pacote #22 <0> OK
Pacote #23 <0> OK
Pacote #24 <0> OK
Pacote #25 <0> OK
Pacote #26 <0> OK
Pacote #27 <0> OK
Pacote #28 <0> OK
Pacote #29 <0> OK
Pacote #30 <0> OK
Pacote #31 <0> OK
Pacote #32 <0> OK
Pacote #33 <0> OK
Pacote #34 <0> OK
Pacote #35 <0> OK
Pacote #36 <0> OK
Pacote #37 <0> OK
Pacote #38 <0> OK
Pacote #39 <0> OK
Pacote #40 <0> OK
Pacote #41 <0> OK
Pacote #42 <0> OK
Pacote #43 <0> OK
Pacote #44 <0> OK
Pacote #45 <0> OK
Pacote #46 <0> OK
Pacote #47 <0> OK
Pacote #48 <0> OK
Pacote #49 <0> OK
Pacote #50 <0> OK
Pacote #51 <0> OK
Pacote #52 <0> OK
Pacote #53 <0> OK
Pacote #54 <0> OK
Pacote #55 <0> OK
Pacote #56 <0> OK
Pacote #57 <0> OK
Pacote #58 <0> OK
Pacote #59 <0> OK
Pacote #60 <0> OK
Pacote #61 <0> OK
Pacote #62 <0> OK
Pacote #63 <0> OK
Pacote #64 <0> OK
Pacote #65 <0> OK
Pacote #66 <0> OK
Pacote #67 <0> OK
Pacote #68 <0> OK
Pacote #69 <0> OK
Pacote #70 <0> OK
Pacote #71 <0> OK
Pacote #72 <0> OK
Pacote #73 <0> OK
Pacote #74 <0> OK
Pacote #75 <0> OK
Pacote #76 <0> OK
Pacote #77 <0> OK
Pacote #78 <0> OK
Pacote #79 <0> OK
Pacote #80 <0> OK
Pacote #81 <0> OK
Pacote #82 <0> OK
Pacote #83 <0> OK
Pacote #84 <0> OK
Pacote #85 <0> OK
Pacote #86 <0> OK
Pacote #87 <0> OK
Pacote #88 <0> OK
Pacote #89 <0> OK
Pacote #90 <0> OK
Pacote #91 <0> OK
Pacote #92 <0> OK
Pacote #93 <0> OK
Pacote #94 <0> OK
Pacote #95 <0> OK
Pacote #96 <0> OK
Pacote #97 <0> OK
Pacote #98 <0> OK
Pacote #99 <0> OK
Pacote #100 <0> OK
Pacote #101 <0> OK
Pacote #102 <0> OK
Pacote #103 <0> OK
Pacote #104 <0> OK
Pacote #105 <0> OK
Pacote #106 <0> OK
Pacote #107 <0> OK
Pacote #108 <0> OK
Pacote #109 <0> OK
Pacote #110 <0> OK
Pacote #111 <0> OK
Pacote #112 <0> OK
Pacote #113 <0> OK
Pacote #114 <0> OK
Pacote #115 <0> OK
Pacote #116 <0> OK
Pacote #117 <0> OK
Pacote #118 <0> OK
Pacote #119 <0> OK
Pacote #120 <0> OK
Pacote #121 <0> OK
Pacote #122 <0> OK
Pacote #123 <0> OK
Pacote #124 <0> OK
Pacote #125 <0> OK
Pacote #126 <0> OK
Pacote #127 <0> OK
Pacote #128 <0> OK
Pacote #129 <0> OK
Pacote #130 <0> OK
Pacote #131 <0> OK
Pacote #132 <0> OK
Pacote #133 <0> OK
Pacote #134 <0> OK
Pacote #135 <0> OK
Pacote #136 <0> OK
Pacote #137 <0> OK
Pacote #138 <0> OK
Pacote #139 <0> OK
Pacote #140 <0> OK
Pacote #141 <0> OK
Pacote #142 <0> OK
Pacote #143 <0> OK
Pacote #144 <0> OK
Pacote #145 <0> OK
Pacote #146 <0> OK
Pacote #147 <0> OK
Pacote #148 <0> OK
Pacote #149 <0> OK
Pacote #150 <0> OK
Pacote #151 <0> OK
Pacote #152 <0> OK
Pacote #153 <0> OK
Pacote #154 <0> OK
Pacote #155 <0> OK
Pacote #156 <0> OK
Pacote #157 <0> OK
Pacote #158 <0> OK
